1,331,0.9929
2,323,1.0771
2,354,0.9393
2,518,1.0901
2,581,1.0222
2,727,1.0494
2,732,1.0680
3,314,1.0341
3,448,1.1296
3,495,1.0294
3,577,1.0467
3,590,1.0466
3,723,1.0811
4,481,1.0007
4,516,0.9882
4,563,0.9995
5,35,1.0449
5,309,0.9818
5,586,0.8953
5,625,1.0304
6,216,1.0803
6,530,0.6747
6,656,0.9028
7,491,0.8542
7,604,0.9618
8,111,0.9877
8,186,1.0624
8,277,0.9871
8,340,0.9472
8,551,0.9227
8,615,1.0285
8,640,1.0047
9,184,1.0549
9,432,1.0334
9,658,0.9887
9,738,1.0188
10,96,1.0243
10,101,1.0226
10,129,1.0313
10,316,0.8970
10,335,0.9868
10,538,1.0529
10,573,1.0826
10,629,1.0211
11,38,0.7803
11,80,0.9133
11,173,0.8799
11,177,0.9198
11,254,0.8911
11,289,0.9641
11,337,1.0062
11,366,0.9337
11,491,0.8274
11,630,0.9717
11,677,0.9526
11,688,0.9376
11,696,0.8797
12,59,1.0570
12,60,1.0765
12,418,1.0724
12,431,1.0567
12,518,1.1289
13,359,1.0185
13,428,1.0691
13,461,1.0714
13,628,1.0498
14,469,1.0451
14,518,1.0929
14,679,1.0738
15,207,1.0517
15,335,1.0692
15,359,1.0572
15,436,1.0413
16,135,1.0549
16,323,1.0708
16,371,1.0313
16,500,0.9761
17,227,1.0696
17,252,1.0494
17,391,1.0501
17,522,1.0071
17,551,1.0493
17,561,1.0188
17,601,1.0433
17,731,1.0252
18,117,1.0160
18,540,0.9849
18,546,1.0396
18,630,0.9613
19,46,1.1027
19,151,1.0586
19,741,0.9751
20,119,1.0691
20,124,1.0439
20,201,1.0886
21,237,1.0407
21,340,1.0564
21,637,1.0039
22,42,1.0484
22,576,1.0169
22,633,1.0463
23,207,0.9629
23,240,1.0616
23,326,1.0896
23,484,0.9948
24,48,0.9617
24,116,1.0908
24,278,0.9648
24,284,0.8044
24,369,0.9490
24,373,0.9781
24,388,0.8869
24,457,0.8327
24,490,0.9795
24,591,1.0129
24,671,0.9730
24,717,1.0222
25,35,1.0419
25,113,1.0137
25,165,1.0528
25,319,0.9735
25,364,1.0380
25,603,1.0742
25,639,1.1459
25,728,1.0601
26,44,1.0409
26,119,1.0514
26,129,1.0215
26,353,1.0363
26,497,1.0955
26,613,1.0473
27,172,1.0103
27,210,1.0743
27,657,1.0917
28,218,0.9639
29,254,0.9547
29,334,0.9779
29,340,0.9851
29,472,1.0014
30,41,0.9482
30,100,1.0129
30,224,0.9050
31,46,1.1237
31,432,1.0460
31,655,1.0145
32,178,0.9980
32,483,1.0247
32,575,0.9877
33,378,1.0344
33,657,1.0883
34,156,0.0466
34,364,1.0761
34,440,1.0835
34,586,1.0896
35,88,1.0951
35,168,1.0747
35,545,0.9119
36,241,1.1120
36,444,1.1301
36,732,0.9894
37,123,0.8863
37,344,1.0149
37,395,0.9505
37,455,0.9473
38,261,0.8985
38,522,0.9746
38,627,0.9502
39,198,0.9618
39,295,1.0664
39,427,0.9905
40,43,0.9119
40,152,0.9815
40,217,1.0150
40,395,0.9166
40,455,0.9365
40,505,1.0845
40,595,1.0577
41,466,0.8211
41,663,0.7398
41,705,0.8074
41,732,0.7959
42,67,1.0626
42,232,1.0967
42,527,1.0537
43,139,1.0420
43,159,0.8960
43,241,0.9287
43,476,0.9479
43,522,1.0277
43,537,0.9932
43,738,1.0113
44,105,1.0023
44,198,1.0063
45,92,0.9370
45,211,0.9517
45,252,1.0406
45,345,1.0189
45,430,0.9943
46,80,1.0736
46,120,1.1113
46,571,1.0836
46,574,1.1180
46,610,1.1047
47,176,1.0099
47,566,1.0022
47,596,1.0018
48,176,0.9700
49,190,1.0778
49,383,1.0808
50,138,1.0106
50,630,0.8863
51,291,0.9703
51,321,0.9549
51,390,0.8890
51,597,0.9008
51,696,0.8924
52,259,0.9927
52,346,1.0447
52,402,0.9244
52,490,0.9402
52,509,1.0015
52,687,1.0061
53,82,1.0680
53,212,1.0289
53,605,1.1122
54,272,1.0563
54,432,1.0546
54,709,1.1136
54,712,1.0520
55,72,0.9863
55,253,1.0715
56,167,1.0019
56,342,0.9693
56,718,0.9693
57,407,1.0449
57,475,1.0107
58,61,1.0085
58,63,0.9909
58,388,0.9746
58,407,0.9176
58,615,1.0406
59,78,0.9952
59,116,0.9601
59,231,1.0474
60,65,1.0985
60,86,1.0795
61,553,1.0300
61,651,1.0842
62,135,0.9729
62,170,0.8972
62,239,0.9653
62,248,1.0074
62,335,1.0336
62,359,0.9707
62,387,0.9684
62,390,0.9485
62,642,0.9469
63,225,1.0231
63,342,0.8913
63,691,0.9484
64,489,0.9439
64,564,0.9769
64,663,0.8916
65,234,1.0495
65,514,1.0362
65,527,1.0353
65,655,1.0717
66,119,0.7827
66,135,0.9459
66,188,1.0393
66,299,1.0063
66,397,0.9797
66,402,0.9538
67,671,1.0618
67,675,1.0468
68,105,0.9225
68,285,0.9487
68,292,1.0087
69,175,1.0111
69,183,1.0141
69,564,1.0884
69,582,0.9227
70,514,1.1071
71,244,1.0078
71,268,1.0109
71,481,0.9911
72,132,0.9703
72,159,0.9414
72,230,0.9609
72,243,0.9255
72,376,0.9493
72,444,1.1056
72,685,0.9646
73,363,1.0019
73,439,0.9954
73,462,0.9951
73,659,1.0263
74,153,0.9762
74,208,0.9724
74,379,0.8981
74,388,0.9640
75,387,0.9939
76,172,0.9614
76,261,1.0087
76,435,1.0947
76,465,1.0521
76,508,0.9606
77,353,0.9691
77,718,0.9713
78,146,0.8441
78,224,0.8650
